,year,tournament country,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament.1,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total,RF_win
251,2002,United States of America,"ATP Masters Series Miami, FL, U.S.A.",18.03.2002,SU,Hard,Draw: 96,350,14.0,"$240,000",R128,Bye,,W ,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2002&r=1&p=F324,ATP Masters Series Miami,R128,0,Roger Federer,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,N/A Bye,,,,,,,,,,,,,,,,,,,,,,,,,,1
252,2002,United States of America,"ATP Masters Series Miami, FL, U.S.A.",18.03.2002,SU,Hard,Draw: 96,350,14.0,"$240,000",R64,Jeff Morrison (USA),139,"W 6-1, 7-6(6)",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2002&r=2&p=F324,ATP Masters Series Miami,R64,69,Roger Federer,Roger Federer,Switzerland,7.0,2.0,48.0,78.0,35.0,48.0,16.0,30.0,5.0,5.0,10.0,10.0,31.0,13.0,24.0,2.0,3.0,9.0,51.0,78.0,23.0,55.0,74.0,133.0,Jeff Morrison,United States,5.0,2.0,31.0,55.0,21.0,31.0,11.0,24.0,1.0,3.0,9.0,13.0,48.0,14.0,30.0,0.0,5.0,10.0,32.0,55.0,27.0,78.0,59.0,133.0,1
253,2002,United States of America,"ATP Masters Series Miami, FL, U.S.A.",18.03.2002,SU,Hard,Draw: 96,350,14.0,"$240,000",R32,Albert Portas (ESP),25,"W 6-4, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2002&r=3&p=F324,ATP Masters Series Miami,R32,67,Roger Federer,Roger Federer,Switzerland,6.0,2.0,30.0,47.0,26.0,30.0,11.0,17.0,1.0,1.0,9.0,9.0,26.0,19.0,36.0,3.0,10.0,8.0,37.0,47.0,28.0,62.0,65.0,109.0,Albert Portas,Spain,2.0,2.0,26.0,62.0,17.0,26.0,17.0,36.0,7.0,10.0,8.0,4.0,30.0,6.0,17.0,0.0,1.0,9.0,34.0,62.0,10.0,47.0,44.0,109.0,1
254,2002,United States of America,"ATP Masters Series Miami, FL, U.S.A.",18.03.2002,SU,Hard,Draw: 96,350,14.0,"$240,000",R16,Tim Henman (GBR),6,W 6-2 RET,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2002&r=4&p=F324,ATP Masters Series Miami,R16,35,Roger Federer,Roger Federer,Switzerland,2.0,1.0,13.0,23.0,9.0,13.0,8.0,10.0,0.0,0.0,5.0,8.0,18.0,4.0,5.0,2.0,3.0,4.0,17.0,23.0,12.0,23.0,29.0,46.0,Tim Henman,Great Britain,0.0,1.0,18.0,23.0,10.0,18.0,1.0,5.0,1.0,3.0,4.0,4.0,13.0,2.0,10.0,0.0,0.0,5.0,11.0,23.0,6.0,23.0,17.0,46.0,1
255,2002,United States of America,"ATP Masters Series Miami, FL, U.S.A.",18.03.2002,SU,Hard,Draw: 96,350,14.0,"$240,000",Q,Andrei Pavel (ROU),28,"W 6-1, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2002&r=5&p=F324,ATP Masters Series Miami,Q,55,Roger Federer,Roger Federer,Switzerland,5.0,0.0,30.0,45.0,25.0,30.0,7.0,15.0,1.0,1.0,7.0,14.0,27.0,12.0,21.0,5.0,7.0,7.0,32.0,45.0,26.0,48.0,58.0,93.0,Andrei Pavel,Romania,1.0,2.0,27.0,48.0,13.0,27.0,9.0,21.0,2.0,7.0,7.0,5.0,30.0,8.0,15.0,0.0,1.0,7.0,22.0,48.0,13.0,45.0,35.0,93.0,1
256,2002,United States of America,"ATP Masters Series Miami, FL, U.S.A.",18.03.2002,SU,Hard,Draw: 96,350,14.0,"$240,000",S,Lleyton Hewitt (AUS),1,"W 6-3, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2002&r=6&p=F324,ATP Masters Series Miami,S,89,Roger Federer,Roger Federer,Switzerland,6.0,0.0,32.0,59.0,25.0,32.0,19.0,27.0,3.0,3.0,10.0,21.0,50.0,10.0,25.0,2.0,9.0,9.0,44.0,59.0,31.0,75.0,75.0,134.0,Lleyton Hewitt,Australia,2.0,3.0,50.0,75.0,29.0,50.0,15.0,25.0,7.0,9.0,9.0,7.0,32.0,8.0,27.0,0.0,3.0,10.0,44.0,75.0,15.0,59.0,59.0,134.0,1
257,2002,United States of America,"ATP Masters Series Miami, FL, U.S.A.",18.03.2002,SU,Hard,Draw: 96,350,14.0,"$240,000",F,Andre Agassi (USA),10,"L 3-6, 3-6, 6-3, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2002&r=7&p=F324,ATP Masters Series Miami,F,141,Andre Agassi,Roger Federer,Switzerland,10.0,3.0,69.0,111.0,45.0,69.0,25.0,42.0,7.0,13.0,19.0,23.0,72.0,20.0,44.0,3.0,7.0,18.0,70.0,111.0,43.0,116.0,113.0,227.0,Andre Agassi,United States,8.0,1.0,72.0,116.0,49.0,72.0,24.0,44.0,4.0,7.0,18.0,24.0,69.0,17.0,42.0,6.0,13.0,19.0,73.0,116.0,41.0,111.0,114.0,227.0,0
258,2002,United States of America,"ATP Masters Series Indian Wells, California, USA",11.03.2002,SU,Hard,Draw: 64,75,14.0,"$30,000",R64,Xavier Malisse (BEL),33,"W 6-7(5), 7-6(3), 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2002&r=2&p=F324,ATP Masters Series Indian Wells,R64,138,Roger Federer,Roger Federer,Switzerland,14.0,4.0,65.0,123.0,51.0,65.0,31.0,58.0,2.0,3.0,17.0,19.0,69.0,25.0,46.0,2.0,6.0,16.0,82.0,123.0,44.0,115.0,126.0,238.0,Xavier Malisse,Belgium,3.0,4.0,69.0,115.0,50.0,69.0,21.0,46.0,4.0,6.0,16.0,14.0,65.0,27.0,58.0,1.0,3.0,17.0,71.0,115.0,41.0,123.0,112.0,238.0,1
259,2002,United States of America,"ATP Masters Series Indian Wells, California, USA",11.03.2002,SU,Hard,Draw: 64,75,14.0,"$30,000",R32,Stefan Koubek (AUT),51,"W 6-4, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2002&r=3&p=F324,ATP Masters Series Indian Wells,R32,74,Roger Federer,Roger Federer,Switzerland,3.0,4.0,32.0,60.0,21.0,32.0,15.0,28.0,2.0,5.0,10.0,21.0,41.0,15.0,31.0,5.0,7.0,10.0,36.0,60.0,36.0,72.0,72.0,132.0,Stefan Koubek,Austria,0.0,5.0,41.0,72.0,20.0,41.0,16.0,31.0,2.0,7.0,10.0,11.0,32.0,13.0,28.0,3.0,5.0,10.0,36.0,72.0,24.0,60.0,60.0,132.0,1
260,2002,United States of America,"ATP Masters Series Indian Wells, California, USA",11.03.2002,SU,Hard,Draw: 64,75,14.0,"$30,000",R16,Thomas Enqvist (SWE),22,"L 4-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2002&r=4&p=F324,ATP Masters Series Indian Wells,R16,74,Thomas Enqvist,Roger Federer,Switzerland,10.0,0.0,42.0,67.0,24.0,42.0,13.0,25.0,7.0,10.0,9.0,7.0,30.0,12.0,29.0,1.0,1.0,10.0,37.0,67.0,19.0,59.0,56.0,126.0,Thomas Enqvist,Sweden,4.0,3.0,30.0,59.0,23.0,30.0,17.0,29.0,0.0,1.0,10.0,18.0,42.0,12.0,25.0,3.0,10.0,9.0,40.0,59.0,30.0,67.0,70.0,126.0,0
261,2002,United Arab Emirates,"Dubai, U.A.E.",25.02.2002,CS,Hard,Draw: 32,25,14.0,"$12,450",R32,Adrian Voinea (ROU),76,"W 6-3, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2002&r=3&p=F324,Dubai,R32,56,Roger Federer,Roger Federer,Switzerland,6.0,2.0,44.0,62.0,32.0,44.0,10.0,18.0,5.0,6.0,10.0,17.0,35.0,7.0,21.0,3.0,8.0,9.0,42.0,62.0,24.0,56.0,66.0,118.0,Adrian Voinea,Romania,4.0,4.0,35.0,56.0,18.0,35.0,14.0,21.0,5.0,8.0,9.0,12.0,44.0,8.0,18.0,1.0,6.0,10.0,32.0,56.0,20.0,62.0,52.0,118.0,1
262,2002,United Arab Emirates,"Dubai, U.A.E.",25.02.2002,CS,Hard,Draw: 32,25,14.0,"$12,450",R16,Rainer Schuettler (GER),40,"L 3-6, 1-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2002&r=4&p=F324,Dubai,R16,53,Rainer Schuettler,Roger Federer,Switzerland,3.0,2.0,35.0,53.0,24.0,35.0,3.0,18.0,4.0,8.0,8.0,5.0,22.0,6.0,21.0,0.0,0.0,8.0,27.0,53.0,11.0,43.0,38.0,96.0,Rainer Schuettler,Germany,4.0,0.0,22.0,43.0,17.0,22.0,15.0,21.0,0.0,0.0,8.0,11.0,35.0,15.0,18.0,4.0,8.0,8.0,32.0,43.0,26.0,53.0,58.0,96.0,0
263,2002,Netherlands,"Rotterdam, The Netherlands",18.02.2002,CS,Hard,Draw: 32,60,13.0,"$18,700",R32,John van Lottum (NED),124,"W 6-3, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2002&r=3&p=F324,Rotterdam,R32,70,Roger Federer,Roger Federer,Switzerland,5.0,2.0,28.0,55.0,26.0,28.0,17.0,27.0,0.0,0.0,10.0,8.0,34.0,15.0,26.0,2.0,2.0,9.0,43.0,55.0,23.0,60.0,66.0,115.0,John van Lottum,Netherlands,1.0,5.0,34.0,60.0,26.0,34.0,11.0,26.0,0.0,2.0,9.0,2.0,28.0,10.0,27.0,0.0,0.0,10.0,37.0,60.0,12.0,55.0,49.0,115.0,1
264,2002,Netherlands,"Rotterdam, The Netherlands",18.02.2002,CS,Hard,Draw: 32,60,13.0,"$18,700",R16,Thomas Enqvist (SWE),20,W  W/O,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2002&r=4&p=F324,Rotterdam,R16,0,Roger Federer,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Enqvist,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,1
265,2002,Netherlands,"Rotterdam, The Netherlands",18.02.2002,CS,Hard,Draw: 32,60,13.0,"$18,700",Q,Nicolas Escude (FRA),22,"L 6-3, 6-7(8), 5-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2002&r=5&p=F324,Rotterdam,Q,126,Nicolas Escude,Roger Federer,Switzerland,12.0,4.0,64.0,115.0,51.0,64.0,25.0,51.0,3.0,4.0,16.0,18.0,71.0,14.0,35.0,2.0,6.0,17.0,76.0,115.0,32.0,106.0,108.0,221.0,Nicolas Escude,France,10.0,0.0,71.0,106.0,53.0,71.0,21.0,35.0,4.0,6.0,17.0,13.0,64.0,26.0,51.0,1.0,4.0,16.0,74.0,106.0,39.0,115.0,113.0,221.0,0
266,2002,Russian Federation,"RUS v SUI WG Rd 1, Moscow, Russia",08.02.2002,DC,Clay,Draw: 4,,13.0,$,RR,Marat Safin (RUS),7,"W 7-5, 6-1, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=912&y=2002&r=-7&p=F324,RUS v SUI WG Rd 1,RR,0,Roger Federer,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Marat Safin,Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,1
267,2002,Russian Federation,"RUS v SUI WG Rd 1, Moscow, Russia",08.02.2002,DC,Clay,Draw: 4,,13.0,$,RR,Yevgeny Kafelnikov (RUS),4,"W 7-6(6), 6-1, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=912&y=2002&r=-4&p=F324,RUS v SUI WG Rd 1,RR,0,Roger Federer,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Yevgeny Kafelnikov,Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,1
268,2002,Italy,"Milan, Italy",28.01.2002,WS,Carpet,Draw: 32,120,13.0,"$28,730",R32,Stefan Koubek (AUT),50,"W 7-6(2), 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=408&y=2002&r=3&p=F324,Milan,R32,68,Roger Federer,Roger Federer,Switzerland,6.0,3.0,50.0,76.0,40.0,50.0,12.0,26.0,1.0,2.0,11.0,15.0,42.0,7.0,19.0,2.0,2.0,10.0,52.0,76.0,22.0,61.0,74.0,137.0,Stefan Koubek,Austria,1.0,4.0,42.0,61.0,27.0,42.0,12.0,19.0,0.0,2.0,10.0,10.0,50.0,14.0,26.0,1.0,2.0,11.0,39.0,61.0,24.0,76.0,63.0,137.0,1
269,2002,Italy,"Milan, Italy",28.01.2002,WS,Carpet,Draw: 32,120,13.0,"$28,730",R16,Nikolay Davydenko (RUS),84,"W 6-3, 6-7(4), 7-5",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=408&y=2002&r=4&p=F324,Milan,R16,123,Roger Federer,Roger Federer,Switzerland,8.0,1.0,71.0,97.0,56.0,71.0,18.0,26.0,1.0,1.0,17.0,14.0,67.0,28.0,45.0,2.0,6.0,16.0,74.0,97.0,42.0,112.0,116.0,209.0,Nikolay Davydenko,Russian Federation,9.0,2.0,67.0,112.0,53.0,67.0,17.0,45.0,4.0,6.0,16.0,15.0,71.0,8.0,26.0,0.0,1.0,17.0,70.0,112.0,23.0,97.0,93.0,209.0,1
270,2002,Italy,"Milan, Italy",28.01.2002,WS,Carpet,Draw: 32,120,13.0,"$28,730",Q,Sargis Sargsian (ARM),74,"W 4-6, 6-3, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=408&y=2002&r=5&p=F324,Milan,Q,94,Roger Federer,Roger Federer,Switzerland,12.0,2.0,65.0,96.0,43.0,65.0,16.0,31.0,5.0,8.0,14.0,17.0,36.0,13.0,34.0,5.0,7.0,13.0,59.0,96.0,30.0,70.0,89.0,166.0,Sargis Sargsian,Armenia,3.0,2.0,36.0,70.0,19.0,36.0,21.0,34.0,2.0,7.0,13.0,22.0,65.0,15.0,31.0,3.0,8.0,14.0,40.0,70.0,37.0,96.0,77.0,166.0,1
271,2002,Italy,"Milan, Italy",28.01.2002,WS,Carpet,Draw: 32,120,13.0,"$28,730",S,Greg Rusedski (GBR),30,"W 7-6(7), 7-6(4)",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=408&y=2002&r=6&p=F324,Milan,S,94,Roger Federer,Roger Federer,Switzerland,8.0,2.0,56.0,78.0,47.0,56.0,13.0,22.0,0.0,0.0,12.0,9.0,55.0,15.0,34.0,0.0,4.0,12.0,60.0,78.0,24.0,89.0,84.0,167.0,Greg Rusedski,Great Britain,10.0,3.0,55.0,89.0,46.0,55.0,19.0,34.0,4.0,4.0,12.0,9.0,56.0,9.0,22.0,0.0,0.0,12.0,65.0,89.0,18.0,78.0,83.0,167.0,1
272,2002,Italy,"Milan, Italy",28.01.2002,WS,Carpet,Draw: 32,120,13.0,"$28,730",F,Davide Sanguinetti (ITA),87,"L 6-7(2), 6-4, 1-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=408&y=2002&r=7&p=F324,Milan,F,125,Davide Sanguinetti,Roger Federer,Switzerland,5.0,5.0,57.0,97.0,39.0,57.0,19.0,40.0,9.0,13.0,14.0,25.0,78.0,17.0,33.0,3.0,13.0,15.0,58.0,97.0,42.0,111.0,100.0,208.0,Davide Sanguinetti,Italy,8.0,3.0,78.0,111.0,53.0,78.0,16.0,33.0,10.0,13.0,15.0,18.0,57.0,21.0,40.0,4.0,13.0,14.0,69.0,111.0,39.0,97.0,108.0,208.0,0
273,2002,Australia,"Australian Open, Australia",14.01.2002,GS,Hard,Draw: 128,150,12.0,"$32,500",R128,Michael Chang (USA),94,"W 6-4, 6-4, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=580&y=2002&r=1&p=F324,Australian Open,R128,126,Roger Federer,Roger Federer,Switzerland,9.0,4.0,57.0,86.0,49.0,57.0,11.0,29.0,3.0,4.0,15.0,20.0,58.0,26.0,46.0,5.0,12.0,14.0,60.0,86.0,46.0,104.0,106.0,190.0,Michael Chang,United States,2.0,0.0,58.0,104.0,38.0,58.0,20.0,46.0,7.0,12.0,14.0,8.0,57.0,18.0,29.0,1.0,4.0,15.0,58.0,104.0,26.0,86.0,84.0,190.0,1
274,2002,Australia,"Australian Open, Australia",14.01.2002,GS,Hard,Draw: 128,150,12.0,"$32,500",R64,Attila Savolt (HUN),93,"W 6-2, 7-5, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=580&y=2002&r=2&p=F324,Australian Open,R64,124,Roger Federer,Roger Federer,Switzerland,10.0,0.0,60.0,86.0,48.0,60.0,15.0,26.0,4.0,5.0,15.0,15.0,62.0,33.0,48.0,5.0,13.0,15.0,63.0,86.0,48.0,110.0,111.0,196.0,Attila Savolt,Hungary,8.0,5.0,62.0,110.0,47.0,62.0,15.0,48.0,8.0,13.0,15.0,12.0,60.0,11.0,26.0,1.0,5.0,15.0,62.0,110.0,23.0,86.0,85.0,196.0,1
275,2002,Australia,"Australian Open, Australia",14.01.2002,GS,Hard,Draw: 128,150,12.0,"$32,500",R32,Rainer Schuettler (GER),41,"W 7-6(6), 7-6(5), 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=580&y=2002&r=3&p=F324,Australian Open,R32,137,Roger Federer,Roger Federer,Switzerland,7.0,1.0,66.0,105.0,50.0,66.0,24.0,39.0,0.0,2.0,17.0,20.0,69.0,26.0,51.0,3.0,7.0,17.0,74.0,105.0,46.0,120.0,120.0,225.0,Rainer Schuettler,Germany,3.0,4.0,69.0,120.0,49.0,69.0,25.0,51.0,4.0,7.0,17.0,16.0,66.0,15.0,39.0,2.0,2.0,17.0,74.0,120.0,31.0,105.0,105.0,225.0,1
276,2002,Australia,"Australian Open, Australia",14.01.2002,GS,Hard,Draw: 128,150,12.0,"$32,500",R16,Tommy Haas (GER),9,"L 6-7(3), 6-4, 6-3, 4-6, 6-8",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=580&y=2002&r=4&p=F324,Australian Open,R16,215,Tommy Haas,Roger Federer,Switzerland,25.0,6.0,106.0,175.0,79.0,106.0,35.0,69.0,11.0,14.0,28.0,24.0,90.0,33.0,82.0,4.0,10.0,27.0,114.0,175.0,57.0,172.0,171.0,347.0,Tommy Haas,Germany,11.0,4.0,90.0,172.0,66.0,90.0,49.0,82.0,6.0,10.0,27.0,27.0,106.0,34.0,69.0,3.0,14.0,28.0,115.0,172.0,61.0,175.0,176.0,347.0,0
277,2002,Australia,"Sydney, Australia",07.01.2002,WS,Hard,Draw: 32,175,13.0,"$48,850",R32,Tommy Robredo (ESP),34,"W 7-6(5), 7-6(5)",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=2002&r=3&p=F324,Sydney,R32,87,Roger Federer,Roger Federer,Switzerland,4.0,3.0,43.0,75.0,36.0,43.0,20.0,32.0,0.0,1.0,12.0,12.0,50.0,13.0,33.0,1.0,7.0,12.0,56.0,75.0,25.0,83.0,81.0,158.0,Tommy Robredo,Spain,2.0,3.0,50.0,83.0,38.0,50.0,20.0,33.0,6.0,7.0,12.0,7.0,43.0,12.0,32.0,1.0,1.0,12.0,58.0,83.0,19.0,75.0,77.0,158.0,1
278,2002,Australia,"Sydney, Australia",07.01.2002,WS,Hard,Draw: 32,175,13.0,"$48,850",R16,Xavier Malisse (BEL),31,"W 6-2, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=2002&r=4&p=F324,Sydney,R16,68,Roger Federer,Roger Federer,Switzerland,5.0,3.0,39.0,69.0,27.0,39.0,12.0,30.0,12.0,15.0,9.0,15.0,31.0,16.0,23.0,6.0,10.0,9.0,39.0,69.0,31.0,54.0,70.0,123.0,Xavier Malisse,Belgium,0.0,1.0,31.0,54.0,16.0,31.0,7.0,23.0,4.0,10.0,9.0,12.0,39.0,18.0,30.0,3.0,15.0,9.0,23.0,54.0,30.0,69.0,53.0,123.0,1
279,2002,Australia,"Sydney, Australia",07.01.2002,WS,Hard,Draw: 32,175,13.0,"$48,850",Q,Marcelo Rios (CHI),47,"W 6-7(2), 7-6(4), 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=2002&r=5&p=F324,Sydney,Q,111,Roger Federer,Roger Federer,Switzerland,14.0,2.0,67.0,111.0,52.0,67.0,26.0,44.0,5.0,6.0,17.0,19.0,65.0,9.0,33.0,2.0,3.0,16.0,78.0,111.0,28.0,98.0,106.0,209.0,Marcelo Rios,Chile,7.0,3.0,65.0,98.0,46.0,65.0,24.0,33.0,1.0,3.0,16.0,15.0,67.0,18.0,44.0,1.0,6.0,17.0,70.0,98.0,33.0,111.0,103.0,209.0,1
280,2002,Australia,"Sydney, Australia",07.01.2002,WS,Hard,Draw: 32,175,13.0,"$48,850",S,Andy Roddick (USA),15,"W 7-6(3), 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=2002&r=6&p=F324,Sydney,S,81,Roger Federer,Roger Federer,Switzerland,7.0,4.0,37.0,70.0,31.0,37.0,19.0,33.0,4.0,5.0,11.0,14.0,43.0,17.0,37.0,2.0,6.0,11.0,50.0,70.0,31.0,80.0,81.0,150.0,Andy Roddick,United States,5.0,4.0,43.0,80.0,29.0,43.0,20.0,37.0,4.0,6.0,11.0,6.0,37.0,14.0,33.0,1.0,5.0,11.0,49.0,80.0,20.0,70.0,69.0,150.0,1
281,2002,Australia,"Sydney, Australia",07.01.2002,WS,Hard,Draw: 32,175,13.0,"$48,850",W,Juan Ignacio Chela (ARG),67,"W 6-3, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=338&y=2002&r=7&p=F324,Sydney,F,53,Roger Federer,Roger Federer,Switzerland,7.0,0.0,29.0,48.0,23.0,29.0,15.0,19.0,0.0,0.0,9.0,8.0,30.0,10.0,17.0,3.0,3.0,9.0,38.0,48.0,18.0,47.0,56.0,95.0,Juan Ignacio Chela,Argentina,2.0,4.0,30.0,47.0,22.0,30.0,7.0,17.0,0.0,3.0,9.0,6.0,29.0,4.0,19.0,0.0,0.0,9.0,29.0,47.0,10.0,48.0,39.0,95.0,1
282,2003,United States of America,"Tennis Masters Cup, Houston, TX, USA",10.11.2003,WC,Hard,Draw: 8,750,3.0,"$1,520,000",RR,Andre Agassi (USA),5,"W 6-7(3), 6-3, 7-6(7)",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2003&r=-7&p=F324,Tennis Masters Cup,RR,146,Roger Federer,Roger Federer,Switzerland,20.0,6.0,66.0,124.0,49.0,66.0,24.0,58.0,6.0,9.0,16.0,25.0,70.0,23.0,47.0,5.0,10.0,17.0,73.0,124.0,48.0,117.0,121.0,241.0,Andre Agassi,United States,4.0,4.0,70.0,117.0,45.0,70.0,24.0,47.0,5.0,10.0,17.0,17.0,66.0,34.0,58.0,3.0,9.0,16.0,69.0,117.0,51.0,124.0,120.0,241.0,1
283,2003,United States of America,"Tennis Masters Cup, Houston, TX, USA",10.11.2003,WC,Hard,Draw: 8,750,3.0,"$1,520,000",RR,David Nalbandian (ARG),8,"W 6-3, 6-0",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2003&r=-5&p=F324,Tennis Masters Cup,RR,71,Roger Federer,Roger Federer,Switzerland,2.0,3.0,25.0,51.0,21.0,25.0,13.0,26.0,3.0,4.0,8.0,13.0,27.0,17.0,28.0,5.0,11.0,7.0,34.0,51.0,30.0,55.0,64.0,106.0,David Nalbandian,Argentina,1.0,6.0,27.0,55.0,14.0,27.0,11.0,28.0,6.0,11.0,7.0,4.0,25.0,13.0,26.0,1.0,4.0,8.0,25.0,55.0,17.0,51.0,42.0,106.0,1
284,2003,United States of America,"Tennis Masters Cup, Houston, TX, USA",10.11.2003,WC,Hard,Draw: 8,750,3.0,"$1,520,000",RR,Juan Carlos Ferrero (ESP),2,"W 6-3, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2003&r=-3&p=F324,Tennis Masters Cup,RR,54,Roger Federer,Roger Federer,Switzerland,6.0,1.0,28.0,49.0,22.0,28.0,14.0,21.0,3.0,3.0,8.0,11.0,27.0,16.0,26.0,4.0,7.0,8.0,36.0,49.0,27.0,53.0,63.0,102.0,Juan Carlos Ferrero,Spain,5.0,7.0,27.0,53.0,16.0,27.0,10.0,26.0,3.0,7.0,8.0,6.0,28.0,7.0,21.0,0.0,3.0,8.0,26.0,53.0,13.0,49.0,39.0,102.0,1
285,2003,United States of America,"Tennis Masters Cup, Houston, TX, USA",10.11.2003,WC,Hard,Draw: 8,750,3.0,"$1,520,000",S,Andy Roddick (USA),1,"W 7-6(2), 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2003&r=6&p=F324,Tennis Masters Cup,S,62,Roger Federer,Roger Federer,Switzerland,12.0,2.0,31.0,56.0,27.0,31.0,19.0,25.0,0.0,0.0,10.0,12.0,46.0,11.0,17.0,2.0,2.0,10.0,46.0,56.0,23.0,63.0,69.0,119.0,Andy Roddick,United States,5.0,1.0,46.0,63.0,34.0,46.0,6.0,17.0,0.0,2.0,10.0,4.0,31.0,6.0,25.0,0.0,0.0,10.0,40.0,63.0,10.0,56.0,50.0,119.0,1
286,2003,United States of America,"Tennis Masters Cup, Houston, TX, USA",10.11.2003,WC,Hard,Draw: 8,750,3.0,"$1,520,000",W,Andre Agassi (USA),5,"W 6-3, 6-0, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2003&r=7&p=F324,Tennis Masters Cup,F,96,Roger Federer,Roger Federer,Switzerland,11.0,5.0,36.0,70.0,30.0,36.0,23.0,34.0,5.0,7.0,12.0,20.0,47.0,14.0,27.0,0.0,0.0,13.0,53.0,70.0,34.0,74.0,87.0,144.0,Andre Agassi,United States,1.0,4.0,47.0,74.0,27.0,47.0,13.0,27.0,0.0,0.0,13.0,6.0,36.0,11.0,34.0,2.0,7.0,12.0,40.0,74.0,17.0,70.0,57.0,144.0,1
